fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_1_2,172,125,47,34.0,True,False,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2
1,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_3_4,97,64,33,24.0,True,True,L1_VisitorType=new|L2_Month=mid_season
1,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_5_plus,86,57,29,32.0,True,True,L1_VisitorType=new|L2_Month=mid_season
1,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_1_2,1563,1109,454,359.0,True,True,L1_VisitorType=returning
1,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_3_4,919,671,248,226.0,True,True,L1_VisitorType=returning
1,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_5_plus,645,435,210,175.0,True,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus
1,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_1_2,1032,747,285,268.0,True,True,L1_VisitorType=returning|L2_Month=low_season
1,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_3_4,582,400,182,156.0,True,True,L1_VisitorType=returning|L2_Month=low_season
1,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_5_plus,477,336,141,108.0,True,True,L1_VisitorType=returning|L2_Month=low_season
1,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_1_2,1396,951,445,353.0,True,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2
1,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_3_4,911,638,273,253.0,True,True,L1_VisitorType=returning|L2_Month=mid_season
1,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_5_plus,694,474,220,177.0,True,True,L1_VisitorType=returning|L2_Month=mid_season
2,ROOT,ROOT,0,ROOT,ROOT,all,9864,1421,607,,False,False,ROOT
2,L1_VisitorType=new,ROOT,1,L1_VisitorType,categorical_group,new,1348,197,88,,False,False,L1_VisitorType=new
2,L1_VisitorType=returning,ROOT,1,L1_VisitorType,categorical_group,returning,8445,1183,562,,False,True,ROOT
2,L1_VisitorType=others,ROOT,1,L1_VisitorType,categorical_group,others,71,51,20,14.0,True,True,ROOT
2,L1_VisitorType=new|L2_Month=high_season,L1_VisitorType=new,2,L2_Month,categorical_group,high_season,597,80,119,,False,True,L1_VisitorType=new
2,L1_VisitorType=new|L2_Month=low_season,L1_VisitorType=new,2,L2_Month,categorical_group,low_season,378,167,106,,False,False,L1_VisitorType=new|L2_Month=low_season
2,L1_VisitorType=new|L2_Month=mid_season,L1_VisitorType=new,2,L2_Month,categorical_group,mid_season,351,154,109,,False,False,L1_VisitorType=new|L2_Month=mid_season
2,L1_VisitorType=new|L2_Month=others,L1_VisitorType=new,2,L2_Month,categorical_group,others,22,14,8,8.0,True,True,L1_VisitorType=new
2,L1_VisitorType=returning|L2_Month=high_season,L1_VisitorType=returning,2,L2_Month,categorical_group,high_season,3122,440,181,,False,True,ROOT
2,L1_VisitorType=returning|L2_Month=low_season,L1_VisitorType=returning,2,L2_Month,categorical_group,low_season,2084,293,122,,False,False,L1_VisitorType=returning|L2_Month=low_season
2,L1_VisitorType=returning|L2_Month=mid_season,L1_VisitorType=returning,2,L2_Month,categorical_group,mid_season,3031,419,185,,False,False,L1_VisitorType=returning|L2_Month=mid_season
2,L1_VisitorType=returning|L2_Month=others,L1_VisitorType=returning,2,L2_Month,categorical_group,others,208,135,73,49.0,True,True,ROOT
2,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_1_2,286,198,88,70.0,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2
2,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_3_4,162,115,47,44.0,True,True,L1_VisitorType=new
2,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_5_plus,149,94,55,43.0,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus
2,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_1_2,185,131,54,47.0,True,True,L1_VisitorType=new|L2_Month=low_season
2,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_3_4,95,76,19,24.0,True,True,L1_VisitorType=new|L2_Month=low_season
2,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_5_plus,98,65,33,16.0,True,True,L1_VisitorType=new|L2_Month=low_season
2,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_1_2,163,109,54,43.0,True,True,L1_VisitorType=new|L2_Month=mid_season
2,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_3_4,92,65,27,29.0,True,True,L1_VisitorType=new|L2_Month=mid_season
2,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_5_plus,96,68,28,22.0,True,True,L1_VisitorType=new|L2_Month=mid_season
2,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_1_2,1537,1069,468,385.0,True,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2
2,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_3_4,925,679,246,220.0,True,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4
2,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_5_plus,660,462,198,160.0,True,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus
2,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_1_2,1035,714,321,265.0,True,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2
2,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_3_4,586,421,165,152.0,True,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4
2,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_5_plus,463,336,127,122.0,True,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus
2,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_1_2,1379,957,422,370.0,True,True,L1_VisitorType=returning|L2_Month=mid_season
2,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_3_4,944,658,286,220.0,True,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4
2,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_5_plus,708,487,221,163.0,True,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus
3,ROOT,ROOT,0,ROOT,ROOT,all,9864,1420,609,,False,False,ROOT
3,L1_VisitorType=new,ROOT,1,L1_VisitorType,categorical_group,new,1344,199,87,,False,False,L1_VisitorType=new
3,L1_VisitorType=returning,ROOT,1,L1_VisitorType,categorical_group,returning,8448,1183,555,,False,True,ROOT
3,L1_VisitorType=others,ROOT,1,L1_VisitorType,categorical_group,others,72,50,22,13.0,True,True,ROOT
3,L1_VisitorType=new|L2_Month=high_season,L1_VisitorType=new,2,L2_Month,categorical_group,high_season,606,82,109,,False,True,L1_VisitorType=new
3,L1_VisitorType=new|L2_Month=low_season,L1_VisitorType=new,2,L2_Month,categorical_group,low_season,360,152,97,,False,False,L1_VisitorType=new|L2_Month=low_season
3,L1_VisitorType=new|L2_Month=mid_season,L1_VisitorType=new,2,L2_Month,categorical_group,mid_season,353,149,117,,False,False,L1_VisitorType=new|L2_Month=mid_season
3,L1_VisitorType=new|L2_Month=others,L1_VisitorType=new,2,L2_Month,categorical_group,others,25,17,8,5.0,True,True,L1_VisitorType=new
3,L1_VisitorType=returning|L2_Month=high_season,L1_VisitorType=returning,2,L2_Month,categorical_group,high_season,3120,445,177,,False,True,ROOT
3,L1_VisitorType=returning|L2_Month=low_season,L1_VisitorType=returning,2,L2_Month,categorical_group,low_season,2116,292,129,,False,False,L1_VisitorType=returning|L2_Month=low_season
3,L1_VisitorType=returning|L2_Month=mid_season,L1_VisitorType=returning,2,L2_Month,categorical_group,mid_season,3014,417,183,,False,True,ROOT
3,L1_VisitorType=returning|L2_Month=others,L1_VisitorType=returning,2,L2_Month,categorical_group,others,198,134,64,59.0,True,True,ROOT
3,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_1_2,293,193,100,63.0,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2
3,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_3_4,160,114,46,46.0,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4
3,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_5_plus,153,110,43,39.0,True,True,L1_VisitorType=new
3,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_1_2,188,138,50,44.0,True,True,L1_VisitorType=new|L2_Month=low_season
3,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_3_4,87,60,27,32.0,True,True,L1_VisitorType=new|L2_Month=low_season
3,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_5_plus,85,65,20,29.0,True,True,L1_VisitorType=new|L2_Month=low_season
3,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_1_2,157,108,49,49.0,True,True,L1_VisitorType=new|L2_Month=mid_season
3,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_3_4,101,70,31,20.0,True,True,L1_VisitorType=new|L2_Month=mid_season
3,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_5_plus,95,58,37,23.0,True,True,L1_VisitorType=new|L2_Month=mid_season
3,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_1_2,1533,1096,437,389.0,True,True,ROOT
3,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_3_4,937,667,270,208.0,True,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4
3,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_5_plus,650,468,182,170.0,True,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus
3,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_1_2,1056,736,320,244.0,True,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2
3,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_3_4,614,420,194,124.0,True,True,L1_VisitorType=returning|L2_Month=low_season
3,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_5_plus,446,309,137,139.0,True,True,L1_VisitorType=returning|L2_Month=low_season
3,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_1_2,1406,972,434,343.0,True,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2
3,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_3_4,929,653,276,235.0,True,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4
3,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_5_plus,679,466,213,192.0,True,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus
4,ROOT,ROOT,0,ROOT,ROOT,all,9864,1417,604,,False,False,ROOT
4,L1_VisitorType=new,ROOT,1,L1_VisitorType,categorical_group,new,1360,208,80,,False,True,ROOT
4,L1_VisitorType=returning,ROOT,1,L1_VisitorType,categorical_group,returning,8442,1176,567,,False,False,L1_VisitorType=returning
4,L1_VisitorType=others,ROOT,1,L1_VisitorType,categorical_group,others,62,46,16,23.0,True,True,ROOT
4,L1_VisitorType=new|L2_Month=high_season,L1_VisitorType=new,2,L2_Month,categorical_group,high_season,602,85,105,,False,True,ROOT
4,L1_VisitorType=new|L2_Month=low_season,L1_VisitorType=new,2,L2_Month,categorical_group,low_season,367,154,105,,False,False,L1_VisitorType=new|L2_Month=low_season
4,L1_VisitorType=new|L2_Month=mid_season,L1_VisitorType=new,2,L2_Month,categorical_group,mid_season,369,160,113,,False,False,L1_VisitorType=new|L2_Month=mid_season
4,L1_VisitorType=new|L2_Month=others,L1_VisitorType=new,2,L2_Month,categorical_group,others,22,19,3,8.0,True,True,ROOT
4,L1_VisitorType=returning|L2_Month=high_season,L1_VisitorType=returning,2,L2_Month,categorical_group,high_season,3087,436,179,,False,True,L1_VisitorType=returning
4,L1_VisitorType=returning|L2_Month=low_season,L1_VisitorType=returning,2,L2_Month,categorical_group,low_season,2092,289,127,,False,False,L1_VisitorType=returning|L2_Month=low_season
4,L1_VisitorType=returning|L2_Month=mid_season,L1_VisitorType=returning,2,L2_Month,categorical_group,mid_season,3061,423,185,,False,False,L1_VisitorType=returning|L2_Month=mid_season
4,L1_VisitorType=returning|L2_Month=others,L1_VisitorType=returning,2,L2_Month,categorical_group,others,202,129,73,55.0,True,True,L1_VisitorType=returning
4,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_1_2,284,201,83,72.0,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2
4,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_3_4,163,120,43,43.0,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4
4,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_5_plus,155,109,46,37.0,True,True,ROOT
4,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_1_2,179,134,45,53.0,True,False,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2
4,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_3_4,102,72,30,17.0,True,True,L1_VisitorType=new|L2_Month=low_season
4,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_5_plus,86,56,30,28.0,True,True,L1_VisitorType=new|L2_Month=low_season
4,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_1_2,170,119,51,36.0,True,False,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2
4,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_3_4,98,68,30,23.0,True,True,L1_VisitorType=new|L2_Month=mid_season
4,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_5_plus,101,69,32,17.0,True,True,L1_VisitorType=new|L2_Month=mid_season
4,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_1_2,1528,1085,443,394.0,True,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2
4,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_3_4,902,641,261,243.0,True,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4
4,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_5_plus,657,458,199,163.0,True,True,L1_VisitorType=returning
4,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_1_2,1026,708,318,274.0,True,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2
4,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_3_4,592,411,181,146.0,True,True,L1_VisitorType=returning|L2_Month=low_season
4,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_5_plus,474,334,140,111.0,True,True,L1_VisitorType=returning|L2_Month=low_season
4,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_1_2,1401,992,409,348.0,True,True,L1_VisitorType=returning|L2_Month=mid_season
4,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_3_4,943,639,304,221.0,True,True,L1_VisitorType=returning|L2_Month=mid_season
4,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=mid_season,3,L3_Region,categorical_group,region_5_plus,717,494,223,154.0,True,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus
5,ROOT,ROOT,0,ROOT,ROOT,all,9864,1420,605,,False,False,ROOT
5,L1_VisitorType=new,ROOT,1,L1_VisitorType,categorical_group,new,1351,204,83,,False,False,L1_VisitorType=new
5,L1_VisitorType=returning,ROOT,1,L1_VisitorType,categorical_group,returning,8445,1176,510,,False,True,ROOT
5,L1_VisitorType=others,ROOT,1,L1_VisitorType,categorical_group,others,68,50,18,17.0,True,True,ROOT
5,L1_VisitorType=new|L2_Month=high_season,L1_VisitorType=new,2,L2_Month,categorical_group,high_season,608,88,164,,False,True,L1_VisitorType=new
5,L1_VisitorType=new|L2_Month=low_season,L1_VisitorType=new,2,L2_Month,categorical_group,low_season,365,148,109,,False,False,L1_VisitorType=new|L2_Month=low_season
5,L1_VisitorType=new|L2_Month=mid_season,L1_VisitorType=new,2,L2_Month,categorical_group,mid_season,352,162,99,,False,False,L1_VisitorType=new|L2_Month=mid_season
5,L1_VisitorType=new|L2_Month=others,L1_VisitorType=new,2,L2_Month,categorical_group,others,26,15,11,4.0,True,True,L1_VisitorType=new
5,L1_VisitorType=returning|L2_Month=high_season,L1_VisitorType=returning,2,L2_Month,categorical_group,high_season,3092,433,183,,False,False,L1_VisitorType=returning|L2_Month=high_season
5,L1_VisitorType=returning|L2_Month=low_season,L1_VisitorType=returning,2,L2_Month,categorical_group,low_season,2109,294,125,,False,False,L1_VisitorType=returning|L2_Month=low_season
5,L1_VisitorType=returning|L2_Month=mid_season,L1_VisitorType=returning,2,L2_Month,categorical_group,mid_season,3029,419,184,,False,False,L1_VisitorType=returning|L2_Month=mid_season
5,L1_VisitorType=returning|L2_Month=others,L1_VisitorType=returning,2,L2_Month,categorical_group,others,215,134,81,42.0,True,True,ROOT
5,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_1_2,278,210,68,78.0,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2
5,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_3_4,171,127,44,35.0,True,True,L1_VisitorType=new
5,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_5_plus,159,107,52,33.0,True,True,L1_VisitorType=new
5,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_1_2,180,134,46,52.0,True,True,L1_VisitorType=new|L2_Month=low_season
5,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_3_4,98,61,37,21.0,True,True,L1_VisitorType=new|L2_Month=low_season
5,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_5_plus,87,61,26,27.0,True,True,L1_VisitorType=new|L2_Month=low_season
5,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_1_2,162,113,49,44.0,True,True,L1_VisitorType=new|L2_Month=mid_season
5,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_3_4,96,71,25,25.0,True,True,L1_VisitorType=new|L2_Month=mid_season
5,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_5_plus,94,69,25,24.0,True,True,L1_VisitorType=new|L2_Month=mid_season
